2017-04-20 19:13:03.453 [main] INFO  io.micheal.debatescout.Main - 2503 tournaments queued from JOT
2017-04-20 19:13:17.131 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 WBFL Fall Varsity IE (Culver City)
2017-04-20 19:13:17.225 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Clear Falls High School Tournament
2017-04-20 19:13:17.973 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Clear Falls High School Tournament prelims is up to date.
2017-04-20 19:13:18.206 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Clear Falls High School Tournament prelims is up to date.
2017-04-20 19:13:18.207 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Cypress Woods High School Tournament
2017-04-20 19:13:18.903 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Cypress Woods High School Tournament prelims is up to date.
2017-04-20 19:13:19.158 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Cypress Woods High School Tournament prelims is up to date.
2017-04-20 19:13:19.158 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 LC Anderson Trojan Classic
2017-04-20 19:13:19.511 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 LC Anderson Trojan Classic prelims is up to date.
2017-04-20 19:13:19.708 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 LC Anderson Trojan Classic prelims is up to date.
2017-04-20 19:13:19.708 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Newman Smith High School Tournament
2017-04-20 19:13:19.805 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 NNFL #1 @ Elko
2017-04-20 19:13:20.124 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 NNFL #1 @ Elko prelims is up to date.
2017-04-20 19:13:20.318 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 NNFL #1 @ Elko prelims is up to date.
2017-04-20 19:13:20.318 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Rice University Classic Swing Tournament (Rice U.)
2017-04-20 19:13:20.414 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Douglas MacArthur High School Tournament
2017-04-20 19:13:20.510 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Flying L Tournament (Ft. Lauderdale HS)
2017-04-20 19:13:21.222 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Flying L Tournament (Ft. Lauderdale HS) prelims is up to date.
2017-04-20 19:13:21.584 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Flying L Tournament (Ft. Lauderdale HS) prelims is up to date.
2017-04-20 19:13:21.584 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 GGSA Congress 1 @ George Washington
2017-04-20 19:13:21.680 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Harlingen South High School Tournament
2017-04-20 19:13:21.979 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Harlingen South High School Tournament prelims is up to date.
2017-04-20 19:13:22.174 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Harlingen South High School Tournament prelims is up to date.
2017-04-20 19:13:22.175 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Holy Trinity Journey Year Five (Holy Trinity Catholic)
2017-04-20 19:13:22.510 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Holy Trinity Journey Year Five (Holy Trinity Catholic) prelims is up to date.
2017-04-20 19:13:22.510 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Jack Howe Memorial @ CSULB (California State University Long Beach)
2017-04-20 19:13:23.237 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Jack Howe Memorial @ CSULB (California State University Long Beach) prelims is up to date.
2017-04-20 19:13:23.498 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Jack Howe Memorial @ CSULB (California State University Long Beach) prelims is up to date.
2017-04-20 19:13:24.198 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Jack Howe Memorial @ CSULB (California State University Long Beach) prelims is up to date.
2017-04-20 19:13:24.198 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Lindale High School TFA Tournament
2017-04-20 19:13:24.757 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Lindale High School TFA Tournament prelims is up to date.
2017-04-20 19:13:25.027 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Lindale High School TFA Tournament prelims is up to date.
2017-04-20 19:13:25.027 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Morton M.E.E.T (Morton Isd)
2017-04-20 19:13:25.348 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Morton M.E.E.T (Morton Isd) prelims is up to date.
2017-04-20 19:13:25.349 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 PBCFL #1 Congressional @ PB Gardens (Palm Beach Gardens)
2017-04-20 19:13:25.444 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Prep School Congress @ SPA (Scottsdale Preparatory Academy)
2017-04-20 19:13:25.539 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Riverside High School Tournament
2017-04-20 19:13:25.939 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Riverside High School Tournament prelims is up to date.
2017-04-20 19:13:26.150 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Riverside High School Tournament prelims is up to date.
2017-04-20 19:13:26.151 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Stamford TFA IQT Tournament
2017-04-20 19:13:26.463 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Stamford TFA IQT Tournament prelims is up to date.
2017-04-20 19:13:26.463 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Cy Lakes/Langham Creek Swing (Cypress Lakes)
2017-04-20 19:13:26.559 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Austin East Roadrunner Invitational (Austin East Magnet)
2017-04-20 19:13:26.657 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Clark Cougar Classic (Plano Senior)
2017-04-20 19:13:27.011 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Clark Cougar Classic (Plano Senior) prelims is up to date.
2017-04-20 19:13:27.012 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Muleshoe High School Tournament
2017-04-20 19:13:27.672 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Muleshoe High School Tournament prelims is up to date.
2017-04-20 19:13:27.673 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Van High Fall Invitational
2017-04-20 19:13:28.064 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Van High Fall Invitational prelims is up to date.
2017-04-20 19:13:28.346 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Van High Fall Invitational prelims is up to date.
2017-04-20 19:13:28.346 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 WBFL Fall Debate (Narbonne)
2017-04-20 19:13:28.759 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 WBFL Fall Debate (Narbonne) prelims is up to date.
2017-04-20 19:13:28.979 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 WBFL Fall Debate (Narbonne) prelims is up to date.
2017-04-20 19:13:28.979 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Red Mountain Lost Dutchman
2017-04-20 19:13:29.304 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Red Mountain Lost Dutchman prelims is up to date.
2017-04-20 19:13:29.504 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Red Mountain Lost Dutchman prelims is up to date.
2017-04-20 19:13:29.505 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 University of Mississippi Tournament
2017-04-20 19:13:29.826 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 University of Mississippi Tournament prelims is up to date.
2017-04-20 19:13:30.408 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 University of Mississippi Tournament prelims is up to date.
2017-04-20 19:13:30.409 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Cross Roads Tournament (Cross Roads ISD)
2017-04-20 19:13:30.697 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Cross Roads Tournament (Cross Roads ISD) prelims is up to date.
2017-04-20 19:13:30.697 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 CVFL #2 @ Woodcreek
2017-04-20 19:13:30.792 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 GDSDA #3 @ Desert Oasis
2017-04-20 19:13:30.890 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 GGSA Debate 1 (PuFo, LD, Policy) @ Santa Rosa
2017-04-20 19:13:31.219 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 GGSA Debate 1 (PuFo, LD, Policy) @ Santa Rosa prelims is up to date.
2017-04-20 19:13:31.417 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 GGSA Debate 1 (PuFo, LD, Policy) @ Santa Rosa prelims is up to date.
2017-04-20 19:13:31.612 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 GGSA Debate 1 (PuFo, LD, Policy) @ Santa Rosa prelims is up to date.
2017-04-20 19:13:31.613 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Santa Ana Fall Novice Classic (Santa Ana Unified School District)
2017-04-20 19:13:31.708 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 SDIVSL #1-B LD/Policy/Congress @ Mission Vista
2017-04-20 19:13:32.084 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 SDIVSL #1-B LD/Policy/Congress @ Mission Vista prelims is up to date.
2017-04-20 19:13:32.332 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 SDIVSL #1-B LD/Policy/Congress @ Mission Vista prelims is up to date.
2017-04-20 19:13:32.332 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Viking Classic @ North Mecklenberg (North Mecklenburg H.S.)
2017-04-20 19:13:32.682 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Viking Classic @ North Mecklenberg (North Mecklenburg H.S.) prelims is up to date.
2017-04-20 19:13:32.963 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Viking Classic @ North Mecklenberg (North Mecklenburg H.S.) prelims is up to date.
2017-04-20 19:13:32.963 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 WBFL Fall Congress #1 (West)
2017-04-20 19:13:33.059 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 West Hardin Teaching Tournament
2017-04-20 19:13:33.384 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 West Hardin Teaching Tournament prelims is up to date.
